reporter_iso,partner_iso,trade_value_usd_exp
rou,isl,6060467
rus,isl,40532294
srb,isl,1930901
svk,isl,11109126
svn,isl,5979469
swe,isl,359310551
ukr,isl,993841
alb,ita,1302453787
aut,ita,10808277560
bel,ita,14436993915
bgr,ita,2447404065
bih,ita,744950223
blr,ita,97906100
che,ita,16172750868
cze,ita,7584695868
deu,ita,75801860252
dnk,ita,2328434065
esp,ita,25988829986
est,ita,171736278
fin,ita,2590240766
fra,ita,42046619474
gbr,ita,12713793008
grc,ita,4086013647
hrv,ita,2382516932
hun,ita,6271731820
irl,ita,4349517956
isl,ita,33891653
ita,ita,NA
srb,ita,1982739477
ltu,ita,742496216
lux,ita,606582558
lva,ita,215116771
mda,ita,116608830
mkd,ita,195352171
mlt,ita,320341518
mne,ita,12619158
nld,ita,22911084813
nor,ita,1424597597
pol,ita,11653917060
prt,ita,3003654443
rou,ita,8704576839
rus,ita,14341895520
srb,ita,1982739477
svk,ita,4166024489
svn,ita,4341335242
swe,ita,4309840835
ukr,ita,2418874196
alb,srb,310125719
aut,srb,938091844
bel,srb,382213388
bgr,srb,790611142
bih,srb,751329801
blr,srb,72136800
che,srb,364900716
cze,srb,759527668
deu,srb,3641131152
dnk,srb,135417609
esp,srb,339284497
est,srb,9194318
fin,srb,39355420
fra,srb,697829122
gbr,srb,209142482
grc,srb,362234865
hrv,srb,902699391
hun,srb,1944041437
irl,srb,77386463
isl,srb,249217
ita,srb,2128416828
srb,srb,NA
ltu,srb,24265479
lux,srb,12264369
lva,srb,10606938
mda,srb,5364982
mkd,srb,618247349
mlt,srb,3270290
mne,srb,120820753
nld,srb,692945594
nor,srb,48927960
pol,srb,976793094
prt,srb,30346826
rou,srb,1034703641
rus,srb,1526555533
srb,srb,NA
svk,srb,424868375
svn,srb,1223303530
swe,srb,144088816
ukr,srb,257425815
alb,ltu,848658
aut,ltu,300371410
bel,ltu,625258463
bgr,ltu,81212101
bih,ltu,10453031
blr,ltu,1054542100
che,ltu,143356235
cze,ltu,779258733
deu,ltu,3875088159
dnk,ltu,462056708
esp,ltu,460732988
est,ltu,979875431
fin,ltu,656405988
fra,ltu,695048160
gbr,ltu,668942256
grc,ltu,51923330
hrv,ltu,56623114
hun,ltu,260182438
irl,ltu,40256336
isl,ltu,44265443
ita,ltu,1111183320
srb,ltu,55012806
ltu,ltu,NA
lux,ltu,34200639
lva,ltu,2474564354
mda,ltu,6839278
mkd,ltu,4020571
mlt,ltu,2895339
mne,ltu,672
nld,ltu,1357754625
nor,ltu,673069928
pol,ltu,3788623012
prt,ltu,89098149
rou,ltu,108825493
rus,ltu,3485282127
srb,ltu,55012806
svk,ltu,217496514
svn,ltu,106793864
swe,ltu,1147027947
ukr,ltu,410783350
alb,lux,205097
aut,lux,204093732
bel,lux,6684874465
bgr,lux,14584099
bih,lux,40482147
blr,lux,735400
che,lux,383549254
cze,lux,272799186
deu,lux,6406464410
dnk,lux,81470326
esp,lux,376150753
est,lux,670101
fin,lux,24036668
fra,lux,2805242240
gbr,lux,302608853
grc,lux,25307139
hrv,lux,12092921
hun,lux,112147895
irl,lux,92494865
isl,lux,1391838
ita,lux,724989585
srb,lux,13998123
ltu,lux,13616968
lux,lux,NA
lva,lux,9348006
mda,lux,69230
mkd,lux,1086720
mlt,lux,867846
mne,lux,126116
nld,lux,1617553185
nor,lux,40642641
pol,lux,419339462
prt,lux,127634835
rou,lux,35711100
rus,lux,49585709
srb,lux,13998123
svk,lux,121482490
svn,lux,23470626
swe,lux,111839523
ukr,lux,20178990
alb,lva,467175
aut,lva,170076304
bel,lva,288131589
bgr,lva,33750776
bih,lva,1754028
blr,lva,365299900
che,lva,134481643
cze,lva,294915826
deu,lva,1930516278
dnk,lva,272489422
esp,lva,292521439
est,lva,1381146342
fin,lva,683668136
fra,lva,402024785
gbr,lva,493683878
grc,lva,26832773
hrv,lva,11636945
hun,lva,214295579
irl,lva,84158542
isl,lva,8580576
ita,lva,628447106
srb,lva,13762222
ltu,lva,3162185361
lux,lva,7648033
lva,lva,NA
mda,lva,6259108
mkd,lva,4113349
mlt,lva,685243
mne,lva,511855
nld,lva,668228913
nor,lva,129311664
pol,lva,1523334355
prt,lva,56651395
rou,lva,79656032
rus,lva,5149845865
srb,lva,13762222
svk,lva,167998690
svn,lva,36179355
swe,lva,550259957
ukr,lva,300079565
alb,mda,300323
aut,mda,94049331
bel,mda,41935798
bgr,mda,63283832
bih,mda,2645871
blr,mda,137368100
che,mda,33705544
cze,mda,110008769
deu,mda,489744001
dnk,mda,14386882
esp,mda,46139588
est,mda,5629211
fin,mda,10279297
fra,mda,69576326
gbr,mda,29556950
grc,mda,13615419
hrv,mda,1847051
hun,mda,107715194
irl,mda,1114683
isl,mda,214750
ita,mda,303736570
srb,mda,19463112
ltu,mda,28815807
lux,mda,530108
lva,mda,23632314
mda,mda,NA
mkd,mda,2338682
mlt,mda,55
mne,mda,0
nld,mda,111042770
nor,mda,2821272
pol,mda,240237588
prt,mda,9422448
rou,mda,1386331846
rus,mda,1257171203
srb,mda,19463112
svk,mda,38269782
svn,mda,24573626
swe,mda,17050273
ukr,mda,726560338
alb,mkd,77969590
aut,mkd,134754490
bel,mkd,143891469
bgr,mkd,474639582
bih,mkd,77069392
blr,mkd,990200
che,mkd,59980149
cze,mkd,161449003
deu,mkd,1422010978
dnk,mkd,10384464
esp,mkd,61766923
est,mkd,1989280
fin,mkd,5853228
fra,mkd,110165488
gbr,mkd,1535416403
grc,mkd,889363106
hrv,mkd,137726194
hun,mkd,420589033
irl,mkd,21063633
isl,mkd,4490
ita,mkd,318226716
srb,mkd,754759240
ltu,mkd,4212044
lux,mkd,3147830
lva,mkd,1964374
mda,mkd,1494009
mkd,mkd,NA
mlt,mkd,39507
mne,mkd,6036023
nld,mkd,126386213
nor,mkd,2710200
pol,mkd,125357302
prt,mkd,25643561
rou,mkd,239083395
rus,mkd,27344292
srb,mkd,754759240
svk,mkd,88636704
svn,mkd,230420430
swe,mkd,10663371
ukr,mkd,46334069
alb,mlt,8086860
aut,mlt,80971603
bel,mlt,83789878
bgr,mlt,24922322
bih,mlt,183095
blr,mlt,44100
che,mlt,146015169
cze,mlt,30729537
deu,mlt,991930644
dnk,mlt,88147846
esp,mlt,397649237
est,mlt,21342175
fin,mlt,19195216
fra,mlt,825716893
gbr,mlt,1754286536
grc,mlt,368626362
hrv,mlt,194203243
hun,mlt,16918935
irl,mlt,45551730
isl,mlt,2585197
ita,mlt,1890236731
srb,mlt,3826857
ltu,mlt,7730799
lux,mlt,2492008
lva,mlt,12390530
mda,mlt,461090
mkd,mlt,389062
mlt,mlt,NA
mne,mlt,486253
nld,mlt,422598395
nor,mlt,11191065
pol,mlt,48908111
prt,mlt,80374803
rou,mlt,15642988
rus,mlt,3755057037
srb,mlt,3826857
svk,mlt,12379806
svn,mlt,21206416
swe,mlt,59573751
ukr,mlt,41427015
alb,mne,47902125
aut,mne,62297238
bel,mne,10026074
bgr,mne,24293516
bih,mne,232981382
blr,mne,207800
che,mne,23776864
cze,mne,38286818
deu,mne,137078433
dnk,mne,3795046
esp,mne,38921924
est,mne,337027
fin,mne,683739
fra,mne,37232613
gbr,mne,53027130
grc,mne,168839658
hrv,mne,231391397
hun,mne,72249702
irl,mne,661971
isl,mne,99796
ita,mne,188964386
srb,mne,881552926
ltu,mne,1709773
lux,mne,276301
lva,mne,296541
mda,mne,787384
mkd,mne,35053346
mlt,mne,54288
mne,mne,NA
nld,mne,54225283
nor,mne,603960
pol,mne,50883878
prt,mne,2307094
rou,mne,33335023
rus,mne,26774096
srb,mne,881552926
svk,mne,27390847
svn,mne,116925934
swe,mne,4206750
ukr,mne,7183999
alb,nld,26912562
aut,nld,3286751759
bel,nld,36049642628
bgr,nld,846873032
bih,nld,139123607
blr,nld,801158800
che,nld,6080824525
cze,nld,7548042809
deu,nld,92760192617
dnk,nld,5347525611
esp,nld,11004428653
est,nld,418645605
fin,nld,4336925895
fra,nld,19651655389
gbr,nld,30377931942
grc,nld,782244333
hrv,nld,226107820
hun,nld,4239196663
irl,nld,9654246447
isl,nld,1373892842
ita,nld,13057002052
srb,nld,421233905
ltu,nld,1203416485
lux,nld,807192185
lva,nld,390156437
mda,nld,21635855
mkd,nld,118984699
mlt,nld,74100786
mne,nld,2639137
nld,nld,NA
nor,nld,11548882287
pol,nld,11029533030
prt,nld,2620843737
rou,nld,2359441472
rus,nld,44787959133
srb,nld,421233905
svk,nld,1869388584
svn,nld,654871612
swe,nld,8334024734
ukr,nld,1848424207
alb,nor,1781329
aut,nor,794515152
bel,nor,1456080962
bgr,nor,47772913
bih,nor,14339471
blr,nor,151953500
che,nor,667861090
cze,nor,863073447
deu,nor,10548559109
dnk,nor,6382634606
esp,nor,1226919903
est,nor,559220710
fin,nor,1899658988
fra,nor,2077512931
gbr,nor,4554441642
grc,nor,112995398
hrv,nor,67767891
hun,nor,197541582
irl,nor,257795261
isl,nor,201970636
ita,nor,2023759137
srb,nor,24053691
ltu,nor,914164779
lux,nor,72596169
lva,nor,327058011
mda,nor,173625
mkd,nor,3256594
mlt,nor,4018612
mne,nor,40205
nld,nor,5456655279
nor,nor,NA
pol,nor,2898970776
prt,nor,221492519
rou,nor,434252096
rus,nor,2833069146
srb,nor,24053691
svk,nor,178705054
svn,nor,97695957
swe,nor,16982085397
ukr,nor,26902221
alb,pol,10870082
aut,pol,5769137904
bel,pol,7287540799
bgr,pol,722333697
bih,pol,96331941
blr,pol,1290600900
che,pol,2685670722
cze,pol,12027950281
deu,pol,73592534919
dnk,pol,3364100326
esp,pol,6920096702
est,pol,366660854
fin,pol,1937270502
fra,pol,11431651967
gbr,pol,6780804913
grc,pol,554362001
hrv,pol,273520046
hun,pol,5175806226
irl,pol,1323123930
isl,pol,110433562
ita,pol,14942061254
srb,pol,541745285
ltu,pol,2612414257
lux,pol,380032033
lva,pol,522462715
mda,pol,88131607
mkd,pol,63075223
mlt,pol,41684283
mne,pol,15387610
nld,pol,15118005364
nor,pol,2407337560
pol,pol,NA
prt,pol,874505329
rou,pol,2725419434
rus,pol,12757766357
srb,pol,541745285
svk,pol,6729659695
svn,pol,1105598738
swe,pol,5144951639
ukr,pol,3295842881
alb,prt,962648
aut,prt,496502579
bel,prt,1773542985
bgr,prt,176168738
bih,prt,5203899
blr,prt,3416500
che,prt,1149430481
cze,prt,748034598
deu,prt,11919402147
dnk,prt,309607949
esp,prt,24523318070
est,prt,29416359
fin,prt,200014413
fra,prt,8003257482
gbr,prt,2007473910
grc,prt,229718911
hrv,prt,79389299
hun,prt,617760393
irl,prt,470149667
isl,prt,96555590
ita,prt,4783423031
srb,prt,20602344
ltu,prt,80212628
lux,prt,87274018
lva,prt,29097608
mda,prt,8009744
mkd,prt,7425280
mlt,prt,19782152
mne,prt,19545
nld,prt,3734153677
nor,prt,708509165
pol,prt,1206727448
prt,prt,NA
rou,prt,320245715
rus,prt,709454538
srb,prt,20602344
svk,prt,316785940
svn,prt,144340901
swe,prt,798274125
ukr,prt,282174085
alb,rou,38076090
aut,rou,2805956283
bel,rou,1883433291
bgr,rou,2908041393
bih,rou,90989775
blr,rou,87661000
che,rou,1084128205
cze,rou,3067559844
deu,rou,18852416610
dnk,rou,295654099
esp,rou,2588659934
est,rou,62936709
fin,rou,200096302
fra,rou,4761766026
gbr,rou,1623152459
grc,rou,1135192309
hrv,rou,290453954
hun,rou,6174041956
irl,rou,429152558
isl,rou,2116349
ita,rou,8564975994
srb,rou,1149495569
ltu,rou,131313351
lux,rou,77454826
lva,rou,36981777
mda,rou,532834683
mkd,rou,172220627
mlt,rou,19118117
mne,rou,677195
nld,rou,3045555269
nor,rou,105282596
pol,rou,5372581370
prt,rou,495914445
rou,rou,NA
rus,rou,3196152017
srb,rou,1149495569
svk,rou,2322471017
svn,rou,576441730
swe,rou,382361066
ukr,rou,1005589365
alb,rus,678491
aut,rus,2638896704
bel,rus,3219720193
bgr,rus,587976263
bih,rus,75192068
blr,rus,13624093100
che,rus,3135887817
cze,rus,4303006082
deu,rus,30445079460
dnk,rus,862791026
esp,rus,2257853384
est,rus,916658493
fin,rus,4016719776
fra,rus,6277034073
gbr,rus,3210547849
grc,rus,233471027
hrv,rus,173586782
hun,rus,2026859490
irl,rus,685660489
isl,rus,79660193
ita,rus,8367550342
srb,rus,977178781
ltu,rus,4632258024
lux,rus,182657633
lva,rus,1323922185
mda,rus,176086806
mkd,rus,52140269
mlt,rus,6503390
mne,rus,2014915
nld,rus,7218003187
nor,rus,349336823
pol,rus,7864094561
prt,rus,216848578
rou,rus,1143012040
rus,rus,NA
srb,rus,977178781
svk,rus,1595547950
svn,rus,991929812
swe,rus,2216375322
ukr,rus,3242814808
alb,srb,310125719
aut,srb,938091844
bel,srb,382213388
bgr,srb,790611142
bih,srb,751329801
blr,srb,72136800
che,srb,364900716
cze,srb,759527668
deu,srb,3641131152
dnk,srb,135417609
esp,srb,339284497
est,srb,9194318
fin,srb,39355420
fra,srb,697829122
gbr,srb,209142482
grc,srb,362234865
hrv,srb,902699391
hun,srb,1944041437
irl,srb,77386463
isl,srb,249217
ita,srb,2128416828
srb,srb,NA
ltu,srb,24265479
lux,srb,12264369
lva,srb,10606938
mda,srb,5364982
mkd,srb,618247349
mlt,srb,3270290
mne,srb,120820753
nld,srb,692945594
nor,srb,48927960
pol,srb,976793094
prt,srb,30346826
rou,srb,1034703641
rus,srb,1526555533
srb,srb,NA
svk,srb,424868375
svn,srb,1223303530
swe,srb,144088816
ukr,srb,257425815
alb,svk,2855428
aut,svk,3521382836
bel,svk,942311588
bgr,svk,337241006
bih,svk,78048220
blr,svk,107368300
che,svk,621952161
cze,svk,15099747903
deu,svk,15687324068
dnk,svk,265645433
esp,svk,1291391590
est,svk,35661066
fin,svk,150031478
fra,svk,3331201062
gbr,svk,1368017841
grc,svk,165729238
hrv,svk,187324933
hun,svk,6405978765
irl,svk,104384437
isl,svk,6828826
ita,svk,3493474854
srb,svk,429604090
ltu,svk,106861788
lux,svk,56207887
lva,svk,70743637
mda,svk,6769111
mkd,svk,72319635
mlt,svk,5082245
mne,svk,52506
nld,svk,1816316468
nor,svk,64668431
pol,svk,6575953128
prt,svk,469333257
rou,svk,1632578061
rus,svk,4063291627
srb,svk,429604090
svk,svk,NA
svn,svk,600426564
swe,svk,455229490
ukr,svk,709619085
alb,svn,9320089
aut,svn,3542551711
bel,svn,517533519
bgr,svn,275669370
bih,svn,575975875
blr,svn,11468900
che,svn,3289171627
cze,svn,975795551
deu,svn,6133505480
dnk,svn,107536906
esp,svn,677706901
est,svn,16260185
fin,svn,70696779
fra,svn,1509627794
gbr,svn,356159820
grc,svn,582776779
hrv,svn,1834456274
hun,svn,1315322870
irl,svn,128043834
isl,svn,237472
ita,svn,5157650073
srb,svn,650523730
ltu,svn,48857677
lux,svn,39688267
lva,svn,23387886
mda,svn,52305
mkd,svn,85443609
mlt,svn,3074502
mne,svn,28488177
nld,svn,1048196370
nor,svn,13212617
pol,svn,941918803
prt,svn,141048488
rou,svn,519250925
rus,svn,489420697
srb,svn,650523730
svk,svn,699895398
svn,svn,NA
swe,svn,212582596
ukr,svn,38945129
alb,swe,25007205
aut,swe,1942890414
bel,swe,5266316645
bgr,swe,293708912
bih,swe,48794782
blr,swe,44818400
che,swe,1698173879
cze,swe,3268348205
deu,swe,27889578558
dnk,swe,10774130607
esp,swe,2706767690
est,swe,1637288093
fin,swe,7473355240
fra,swe,6053686349
gbr,swe,6368884520
grc,swe,239314725
hrv,swe,132568795
hun,swe,1738499608
irl,swe,1053197594
isl,swe,30730623
ita,swe,5277053589
srb,swe,216505649
ltu,swe,1478223067
lux,swe,203514815
lva,swe,955303402
mda,swe,350379
mkd,swe,33500663
mlt,swe,14927331
mne,swe,3523350
nld,swe,10999325968
nor,swe,7988389516
pol,swe,6955985909
prt,swe,665213118
rou,swe,631029746
rus,swe,2297711513
srb,swe,216505649
svk,swe,1224412026
svn,swe,405924734
swe,swe,NA
ukr,swe,77068526
alb,ukr,1561576
aut,ukr,640084380
bel,ukr,518614556
bgr,ukr,381566269
bih,ukr,5402812
blr,ukr,4141632600
che,ukr,461495320
cze,ukr,1524234360
deu,ukr,5492969333
dnk,ukr,319178565
esp,ukr,651031306
est,ukr,154103743
fin,ukr,238308010
fra,ukr,1179249928
gbr,ukr,649365906
grc,ukr,236025775
hrv,ukr,47442677
hun,ukr,2392000341
irl,ukr,73240285
isl,ukr,33850452
ita,ukr,1959268457
srb,ukr,146510271
ltu,ukr,1199384765
lux,ukr,29422845
lva,ukr,171350957
mda,ukr,48413685
mkd,ukr,12675425
mlt,ukr,1891185
mne,ukr,3601591
nld,ukr,1242696813
nor,ukr,192578066
pol,ukr,5291725533
prt,ukr,28603056
rou,ukr,690731337
rus,ukr,6619026794
srb,ukr,146510271
svk,ukr,770443849
svn,ukr,243751373
swe,ukr,407099428
ukr,ukr,NA
